date,tasa_de_interes
2000-01-03,9.3949
2000-01-04,9.4564
2000-01-05,9.5455
2000-01-06,9.5705
2000-01-07,9.515
2000-01-10,9.4464
2000-01-11,9.478
2000-01-12,9.5352
2000-01-13,9.5057
2000-01-14,9.4483
2000-01-17,9.4172
2000-01-18,9.4383
2000-01-19,9.4086
2000-01-20,9.4038
2000-01-21,9.4463
2000-01-24,9.4838
2000-01-25,9.5288
2000-01-26,9.5103
2000-01-27,9.5123
2000-01-28,9.5727
2000-01-31,9.6253
2000-02-01,9.5956
2000-02-02,9.5724
2000-02-03,9.5011
2000-02-04,9.4803
2000-02-07,9.4327
2000-02-08,9.4018
2000-02-09,9.3998
2000-02-10,9.4348
2000-02-11,9.4212
2000-02-14,9.3988
2000-02-15,9.388
2000-02-16,9.371
2000-02-17,9.3905
2000-02-18,9.3592
2000-02-21,9.4108
2000-02-22,9.4395
2000-02-23,9.4067
2000-02-24,9.3798
2000-02-25,9.3748
2000-02-28,9.4033
2000-02-29,9.3662
2000-03-01,9.3633
2000-03-02,9.3382
2000-03-03,9.3115
2000-03-06,9.3215
2000-03-07,9.3009
2000-03-08,9.2662
2000-03-09,9.2837
2000-03-10,9.3125
2000-03-13,9.3338
2000-03-14,9.3127
2000-03-15,9.3436
2000-03-16,9.3224
2000-03-17,9.3255
2000-03-20,9.3185
2000-03-22,9.2765
2000-03-23,9.2398
2000-03-24,9.1712
2000-03-27,9.1775
2000-03-28,9.1883
2000-03-29,9.2331
2000-03-30,9.3015
2000-03-31,9.2845
2000-04-03,9.2761
2000-04-04,9.2878
2000-04-05,9.3835
2000-04-06,9.3535
2000-04-07,9.3218
2000-04-10,9.2868
2000-04-11,9.3918
2000-04-12,9.3965
2000-04-13,9.3988
2000-04-14,9.4842
2000-04-17,9.4882
2000-04-18,9.4388
2000-04-19,9.3939
2000-04-24,9.4443
2000-04-25,9.4078
2000-04-26,9.4073
2000-04-27,9.4521
2000-04-28,9.4127
2000-05-02,9.3374
2000-05-03,9.3848
2000-05-04,9.3928
2000-05-08,9.4918
2000-05-09,9.4855
2000-05-10,9.5702
2000-05-11,9.5768
2000-05-12,9.5661
2000-05-15,9.582
2000-05-16,9.5088
2000-05-17,9.5451
2000-05-18,9.5751
2000-05-19,9.615
2000-05-22,9.5778
2000-05-23,9.509
2000-05-24,9.5328
2000-05-25,9.494
2000-05-26,9.5274
2000-05-29,9.5326
2000-05-30,9.516
2000-05-31,9.511
2000-06-01,9.4988
2000-06-02,9.5461
2000-06-05,9.5442
2000-06-06,9.657
2000-06-07,9.7942
2000-06-08,9.8519
2000-06-09,9.9263
2000-06-12,9.8546
2000-06-13,9.7645
2000-06-14,9.7879
2000-06-15,9.8478
2000-06-16,9.9243
2000-06-19,9.9031
2000-06-20,9.8644
2000-06-21,9.8568
2000-06-22,9.8707
2000-06-23,9.9805
2000-06-26,10.0197
2000-06-27,10.0787
2000-06-28,9.9538
2000-06-29,9.9003
2000-06-30,9.8243
2000-07-03,9.5461
2000-07-04,9.4876
2000-07-05,9.5384
2000-07-06,9.546
2000-07-07,9.5195
2000-07-10,9.5023
2000-07-11,9.428
2000-07-12,9.4748
2000-07-13,9.4368
2000-07-14,9.4152
2000-07-17,9.3491
2000-07-18,9.3327
2000-07-19,9.4118
2000-07-20,9.3608
2000-07-21,9.3485
2000-07-24,9.3337
2000-07-25,9.3657
2000-07-26,9.3627
2000-07-27,9.361
2000-07-28,9.3578
2000-07-31,9.3667
2000-08-01,9.3428
2000-08-02,9.3462
2000-08-03,9.3881
2000-08-04,9.3574
2000-08-07,9.3353
2000-08-08,9.3353
2000-08-09,9.326
2000-08-10,9.3198
2000-08-11,9.2918
2000-08-14,9.2516
2000-08-15,9.2504
2000-08-16,9.1923
2000-08-17,9.1873
2000-08-18,9.2293
2000-08-21,9.2563
2000-08-22,9.2322
2000-08-23,9.2773
2000-08-24,9.2268
2000-08-25,9.2342
2000-08-28,9.2093
2000-08-29,9.2317
2000-08-30,9.2108
2000-08-31,9.1995
2000-09-01,9.2014
2000-09-04,9.2231
2000-09-05,9.2612
2000-09-06,9.3115
2000-09-07,9.3141
2000-09-08,9.3243
2000-09-11,9.2814
2000-09-12,9.2542
2000-09-13,9.286
2000-09-14,9.3125
2000-09-15,9.3517
2000-09-18,9.4172
2000-09-19,9.425
2000-09-20,9.4483
2000-09-21,9.4347
2000-09-22,9.479
2000-09-25,9.4218
2000-09-26,9.4032
2000-09-27,9.4088
2000-09-28,9.429
2000-09-29,9.4459
2000-10-02,9.4142
2000-10-03,9.4014
2000-10-04,9.4292
2000-10-05,9.4515
2000-10-06,9.46
2000-10-09,9.4753
2000-10-10,9.4632
2000-10-11,9.479
2000-10-12,9.5193
2000-10-13,9.5879
2000-10-16,9.5351
2000-10-17,9.5443
2000-10-18,9.5765
2000-10-19,9.5333
2000-10-20,9.5605
2000-10-23,9.5736
2000-10-24,9.5757
2000-10-25,9.6242
2000-10-26,9.6777
2000-10-27,9.6443
2000-10-30,9.5995
2000-10-31,9.5642
2000-11-01,9.5824
2000-11-03,9.599
2000-11-06,9.6438
2000-11-07,9.6544
2000-11-08,9.6166
2000-11-09,9.6533
2000-11-10,9.6008
2000-11-13,9.558
2000-11-14,9.4963
2000-11-15,9.4625
2000-11-16,9.4828
2000-11-17,9.4828
2000-11-21,9.4098
2000-11-22,9.379
2000-11-23,9.4057
2000-11-24,9.393
2000-11-27,9.3692
2000-11-28,9.4058
2000-11-29,9.3973
2000-11-30,9.4155
2000-12-04,9.4132
2000-12-05,9.3737
2000-12-06,9.402
2000-12-07,9.4263
2000-12-08,9.3984
2000-12-11,9.4418
2000-12-13,9.4497
2000-12-14,9.4127
2000-12-15,9.4079
2000-12-18,9.3788
2000-12-19,9.379
2000-12-20,9.4348
2000-12-21,9.5727
2000-12-22,9.598
2000-12-26,9.5201
2000-12-27,9.5722
2000-12-28,9.5997
2000-12-29,9.6098
2001-01-02,9.714
2001-01-03,9.834
2001-01-04,9.708
2001-01-05,9.7546
2001-01-08,9.69
2001-01-09,9.7417
2001-01-10,9.8167
2001-01-11,9.8548
2001-01-12,9.8798
2001-01-15,9.9018
2001-01-16,9.9778
2001-01-17,9.8878
2001-01-18,9.887
2001-01-19,9.7953
2001-01-22,9.7863
2001-01-23,9.7683
2001-01-24,9.6923
2001-01-25,9.683
2001-01-26,9.6909
2001-01-29,9.6687
2001-01-30,9.6692
2001-01-31,9.6828
2001-02-01,9.7328
2001-02-02,9.756
2001-02-06,9.6998
2001-02-07,9.6945
2001-02-08,9.6464
2001-02-09,9.7238
2001-02-12,9.7389
2001-02-13,9.7065
2001-02-14,9.7219
2001-02-15,9.6763
2001-02-16,9.7022
2001-02-19,9.7044
2001-02-20,9.6797
2001-02-21,9.709
2001-02-22,9.7278
2001-02-23,9.7183
2001-02-26,9.6618
2001-02-27,9.6827
2001-02-28,9.7025
2001-03-01,9.7052
2001-03-02,9.6688
2001-03-05,9.637
2001-03-06,9.6409
2001-03-07,9.6542
2001-03-08,9.6468
2001-03-09,9.6703
2001-03-12,9.6625
2001-03-13,9.632
2001-03-14,9.576
2001-03-15,9.5843
2001-03-16,9.6233
2001-03-19,9.5683
2001-03-20,9.5188
2001-03-22,9.5722
2001-03-23,9.654
2001-03-26,9.5315
2001-03-27,9.5139
2001-03-28,9.538
2001-03-29,9.5203
2001-03-30,9.4933
2001-04-02,9.4152
2001-04-03,9.3914
2001-04-04,9.4201
2001-04-05,9.414
2001-04-06,9.4059
2001-04-09,9.3587
2001-04-10,9.3093
2001-04-11,9.2908
2001-04-16,9.323
2001-04-17,9.2723
2001-04-18,9.1966
2001-04-19,9.2748
2001-04-20,9.3525
2001-04-23,9.37
2001-04-24,9.2768
2001-04-25,9.3123
2001-04-26,9.2671
2001-04-27,9.3049
2001-04-30,9.2537
2001-05-02,9.283
2001-05-03,9.2873
2001-05-04,9.2579
2001-05-07,9.2212
2001-05-08,9.2048
2001-05-09,9.216
2001-05-10,9.1967
2001-05-11,9.225
2001-05-14,9.1922
2001-05-15,9.161
2001-05-16,9.1645
2001-05-17,8.9952
2001-05-18,8.9774
2001-05-21,8.9428
2001-05-22,8.966
2001-05-23,9.0398
2001-05-24,9.0805
2001-05-25,9.0945
2001-05-28,9.0781
2001-05-29,9.0851
2001-05-30,9.1653
2001-05-31,9.1835
2001-06-01,9.1735
2001-06-04,9.1369
2001-06-05,9.1722
2001-06-06,9.1208
2001-06-07,9.1235
2001-06-08,9.068
2001-06-11,9.029
2001-06-12,9.094
2001-06-13,9.118
2001-06-14,9.0523
2001-06-15,9.0522
2001-06-18,9.0502
2001-06-19,9.0792
2001-06-20,9.0798
2001-06-21,9.057
2001-06-22,9.073
2001-06-25,9.0595
2001-06-26,9.0606
2001-06-27,9.0608
2001-06-28,9.09
2001-06-29,9.0708
2001-07-02,9.0221
2001-07-03,9.0258
2001-07-04,9.0707
2001-07-05,9.0312
2001-07-06,9.1503
2001-07-09,9.1193
